Sex,Age interval,Education level,Access to phone,What is environment?,How should the environment be for us to be in good health?,Have you already heard about climate change?,What is climate change?,Main heating gaz you know?,What produces heating gaz?,What are the consequencies of climate change?,What can we do to adapt to climate change?,Have you heard about environment club?,Why does one create environment clubs?,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained mangroves nursery?,Are you ready to be part of an environment club?,Are you willing to sensitize your parents on how to protect the environment?,What would you do with a plastic water bag or bottle after drinking it if there is no trash bin nearby?,What would you do with a plastic water bag or bottle after drinking it in a car?,What would you do if one of your parents decided to cut down a tree that provides a lot of fruit or that is on a slope?
Male,From 12 to 15,Primary school,Yes,Spaces where there are trees Spaces where live the animals Spaces where people live,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Vehicles that run with fossil energies The industries,There are more hurricane and they become more violent It causes drought Increase in the sea saltiness Increase in the earth temperature It causes flooding It occasions diseases for human being and animals,"Plant trees to stock the excess of CO2 Reduce the amount of CO2 we are emitting into the atmosphere Manage garbage, recycle them Consume local products",No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,,,,,,Facilitate water filtration to the ground Protect soil agains erosion Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,"Spaces where there are trees Rivers, water springs The sea Spaces where live the animals Spaces where people live","The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Don't know,,,,,No,To carry out environmental sensitization activities To plant trees To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Don't know Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,,Other,Increase in the earth temperature,,No,,,Yes,,Yes,Don't know,,Yes,,,,Protect soil agains erosion,Yes,Yes,Yes,Yes,,,
Female,Less than 12,Primary school,Yes,Spaces where live the animals,WE must protect the trees,Yes,Other,CO2,Don't know,Don't know,Plant trees to stock the excess of CO2,No,To carry out training about environment,Don't know,Yes,,No,Don't know,It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,,Plant more mangroves,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Secondary school,Yes,Spaces where live the animals,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Increase in animal breeding and use of fertilizers,It causes flooding,Plant trees to stock the excess of CO2,No,To carry out training about environment,A tree that grows in forest by the sea,No,,No,Don't know,It contributes to food security (thank to fishing products),Yes,Urbanization of mangrove areas,,Organize a management committee,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Secondary school,Yes,Spaces where people live,WE must protect the trees,Yes,Don't know,CO2,Increase in animal breeding and use of fertilizers,It occasions diseases for human being and animals,Don't know,No,To carry out training about environment,A tree that grows in forest by the sea,No,,No,Don't know,It contributes to food security (thank to fishing products),Yes,Mangroves become a dumping ground for garbage,,Soil conservation in the mountains,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where live the animals,The environment must be clean,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment,Don't know,No,,No,,,,,,Organize a management committee,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,The environment must be clean,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment,Don't know,No,,No,,,Yes,Absence of government/no control of mangroves exploitation,,,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Secondary school,Yes,Spaces where people live,The environment must be clean,No,Don't know,Don't know,Don't know,Don't know It causes flooding,Don't know,No,To carry out training about environment,Don't know,No,,,,,,,,Elaborate a plan with community management,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,The environment must be clean,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment,Don't know,No,,No,,,,,,,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,Less than 12,Primary school,Yes,Spaces where people live,The environment must be clean,No,Don't know,,,,,No,Don't know,,No,,No,,,No,,,,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,No,Don't know,,,,Don't know,No,To carry out training about environment,Don't know,,,,,,No,,,,Facilitate water filtration to the ground,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Other,Other,Yes,Other,Other,Other,Other,Other,Yes,Other,A tree that produces mangoes,No,,Yes,Other,Other,No,Mangroves become a dumping ground for garbage,,Other,Other,Yes,Yes,Yes,Yes,Just kick as a ball with my feet along the way,Put it in my pocket or my bag and throw it in a trash bin on the road,Don't know
Male,Greater than 20,Secondary school,Yes,Spaces where people live Spaces where there are trees,"We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea The environment must be clean",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Deforestation,It occasions diseases for human being and animals,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't know Do not throw garbage in the mangroves,Prevent flooding It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,,Enforce law to protect the mangroves Organize a management committee Elaborate a plan with community management,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Don't know,Don't know,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,,,Prevent flooding It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,,Organize a management committee Educate and sensitize the population on how to exploit mangroves,Provide oxygen Protection against flooding Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Prevent flooding It contributes to food security (thank to fishing products),No,,,Organize a management committee Elaborate a plan with community management,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea The environment must be clean",Yes,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment,A tree that grows in forest by the sea,No,,No,,Prevent flooding,Yes,Community over-exploitation of mangroves,,Elaborate a plan with community management,Protect soil agains erosion Provide oxygen,Yes,Yes,Yes,Yes,Throw it on a pile of rubbish,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,Spaces where people live,"WE must protect the trees The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment To carry out environmental sensitization activities To plant trees,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products) Prevent flooding,Yes,Community over-exploitation of mangroves,,Organize a management committee Elaborate a plan with community management,Provide oxygen Natural medicines Provide food for human and animals Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean WE must protect the trees We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea We must plant trees, mostly in the mountains",No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out environmental sensitization activities To plant trees,A tree that grows in forest by the sea,No,,,,Prevent flooding It contributes to food security (thank to fishing products),No,,,Elaborate a plan with community management Enforce law to protect the mangroves,Provide oxygen Natural medicines Provide food for human and animals,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Vehicles that run with fossil energies,Don't know,Don't know,No,To carry out training about environment To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Prevent flooding Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,,Educate and sensitize the population on how to exploit mangroves Organize a management committee,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,Spaces where people live,WE must protect the trees,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,,Plant more mangroves Elaborate a plan with community management,Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out training about environment To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Birds habitat,No,,,Plant more mangroves,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,Don't know,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,Don't know,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products),Yes,,,,Don't know,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Secondary school,No,Spaces where there are trees Spaces where live the animals Spaces where people live,WE must protect the trees,No,,,,,,No,To carry out environmental sensitization activities To plant trees,A tree that grows in forest by the sea,No,,,,Prevent flooding,No,,,Soil conservation in the mountains,Provide oxygen Controle the earth temperature Protection against flooding Provide food for human and animals,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Throw it bellow the car,Explain him/her the importance of the tree
